,MIGUEL (V.O.),MIGUEL,MAMÁ COCO,ABUELITA,MUSICIANS,MIGUEL (V.O),MAMÁ,WOMAN,STREET VENDOR,TOUR GUIDE,DE LA CRUZ,DE LA CRUZ (CONT'D),MIGUEL (CONT'D),PLAZA MARIACHI,PLAZA MARIACHI (CONT'D),ABUELITA (O.S.),TÍO BERTO,PAPÁ,PAPÁ FRANCO,PRIMA ROSA,PRIMO ABEL,ABUELITA (CONT'D),MAMÁ COCO (CONT'D),DE LA CRUZ (FILM CLIP),NUN (FILM CLIP),LOLA (FILM CLIP),INTERVIEWER (FILM CLIP),MAMÁ (CONT'D),TÍA GLORIA,STAGE MANAGER,MUSICIAN #1,MUSICIAN #2,MUSICIAN #3,VOICES (O.S.),GROUNDSKEEPER,WOMAN (CONT'D),SKELETON HEAD,SKELETON ABUELA,PAPÁ JULIO,TÍA ROSITA,TÍA VICTORIA,PAPÁ JULIO (CONT'D),TÍO FELIPE,TÍO OSCAR,SKELETON MOTHER,CANNED LOOP (V.O.),ARRIVALS AGENT,TRAVELER,DEPARTURES AGENT,DEPARTURES AGENT (CONT'D),ELDERLY COUPLE,JUAN ORTODONCIA,HÉCTOR,OFFICER,ARRIVALS AGENT (O.S.),VOICE OVER P.A.,DISTRESSED TRAVELER,MIFFED WIFE,MAMÁ IMELDA,CASE WORKER,CLERK,MAMÁ IMELDA (CONT'D),PATROLWOMAN,PATROLMAN,CORRECTIONS OFFICER,HÉCTOR (CONT'D),CECILIA,FRIDA,FRIDA (CONT'D),GUSTAVO,RATTY GROUP,RATTY MEMBER,TÍA CHELO,OLD TIAS,CHICHARRÓN,VENDOR,EMCEE,EMCEE (CONT'D),SKELETON MUSICIAN,OPERA SINGERS,STAGEHAND,CROWD,EMCEE (O.S.),AUDIENCE MEMBER (O.S.),TÍO FELIPE/TÍO OSCAR,AUDIENCE,CROWD MEMBERS,SECURITY GUARD,GUEST,BAND LEADER,BAND MEMBER #2,MIGUEL & DE LA CRUZ,DON HIDALGO (FILM CLIP),HÉCTOR (O.S.),YOUNG DE LA CRUZ,YOUNG HÉCTOR,YOUNG DE LA CRUZ (CONT'D),HÉCTOR (V.O.),DANTE (O.S),DANTE (O.S.),FAMILY,ANNOUNCER (O.S.),CROWD MEMBER,MIGUEL (O.S.),DE LA CRUZ/MAMÁ IMELDA,TÍO OSCAR/TÍO FELIPE,AUDIENCE MEMBER,PAPÁ (O.S.),TOUR GUIDE (O.S.),TOUR GUIDE (CONT'D)
241, ,Dante?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
242, ,Dante!    It's Dante!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
243, ,"Dante, you knew he was my Papá
Héctor the whole time! You ARE a
real spirit guide!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
244, ,"Who's a good spirit guide? You
are!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
245, ,Whoa..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
246, ,Dante!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
247, ,"I wasn't in there `cause of Héctor.
He was in there `cause of me.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
248, ,"He was just trying to get me
home... I didn't wanna listen, but
he was right... nothing is more
important than family.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
249, ,"So he can see Coco again.        Héctor
should be on our ofrenda.        He's
part of our family--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
250, ,"He tried to go home to you and
Coco... but de la Cruz murdered
him!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
251, ,Héctor?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
252, ,"You don't have to forgive him...
But we shouldn't forget him.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
253, ,Family comes first., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
254, ,I might know a way..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
255, ,Everyone clear on the plan?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
256, ,She's talking about me!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
257, ,The photo!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
258, ,That's what I heard..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
259, ,"Hurry, come on!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
260, ,Ahem., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
261, ,Never play music again..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
262, ,Dante!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
263, ,You're a coward!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
264, ,"Héctor's the real musician, you're
just the guy who murdered him and
stole his songs!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
265, ,AHHH!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
266, ,Héctor!    Héctor?!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
267, ,No!   We can still find the photo..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
268, ,"No, no, no, I can't leave you. I
promised I'd put your photo up. I
promised you'd see Coco!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
269, ,"No, no... she can't forget you!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
270, ,Héctor--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
271, ,"Ah! I need to see Mamá Coco,
please--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
272, ,"Mamá Coco?     Can you hear me?   It's
Miguel.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
273, ,"Here -- this was his guitar, right?
He used to play it to you? See,
there he is.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
274, ,"Mamá Coco, please, don't forget
him.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
275, ,"I'm sorry, Papá.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
276, ,Not all of us..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
277, ,Mamá Coco..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
278, ,"Mamá Coco? Your papá -- he wanted
you to have this.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
279, ,"REMEMBER ME
THOUGH I HAVE TO SAY GOODBYE
REMEMBER ME
DON'T LET IT MAKE YOU CRY", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
280, ,"FOR EVEN IF I'M FAR AWAY,
I HOLD YOU IN MY HEART
I SING A SECRET SONG TO YOU
EACH NIGHT WE ARE APART", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
281, ,"He loved you, Mamá Coco.         Your papá
loved you so much.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
282, ,"OUR LOVE FOR EACH OTHER
WILL LIVE ON FOREVER
IN EVERY BEAT
OF MY PROUD CORAZÓN", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
283, ,"AY MI FAMILIA!
OIGA MI GENTE!
CANTEN A CORO!
LET IT BE KNOWN...
OUR LOVE FOR EACH OTHER
WILL LIVE ON FOREVER
IN EVERY BEAT
OF MY PROUD CORAZÓN", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
284, ,"AY MI FAMILIA!
OIGA ME GENTE!
CANTEN A CORO!
LET IT BE KNOWN...
OUR LOVE FOR EACH OTHER
WILL LIVE ON FOREVER
IN EVERY BEAT
OF MY PROUD CORAZÓN", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
